zaman_araligi,kisi_sayisi
09:00:00-09:00:05,0
09:00:05-09:00:10,0
09:00:10-09:00:15,0
09:00:15-09:00:20,0
09:00:20-09:00:25,0
09:00:25-09:00:30,0
09:00:30-09:00:35,0
09:00:35-09:00:40,0
09:00:40-09:00:45,0
09:00:45-09:00:50,0
09:00:50-09:00:55,0
09:00:55-09:01:00,0
09:01:00-09:01:05,0
09:01:05-09:01:10,0
09:01:10-09:01:15,0
09:01:15-09:01:20,0
09:01:20-09:01:25,0
09:01:25-09:01:30,0
09:01:30-09:01:35,0
09:01:35-09:01:40,0
09:01:40-09:01:45,0
09:01:45-09:01:50,0
09:01:50-09:01:55,0
09:01:55-09:02:00,0
09:02:00-09:02:05,0
09:02:05-09:02:10,0
09:02:10-09:02:15,0
09:02:15-09:02:20,0
09:02:20-09:02:25,0
09:02:25-09:02:30,0
09:02:30-09:02:35,0
09:02:35-09:02:40,0
09:02:40-09:02:45,0
09:02:45-09:02:50,0
09:02:50-09:02:55,1
09:02:55-09:03:00,1
09:03:00-09:03:05,1
09:03:05-09:03:10,1
09:03:10-09:03:15,1
09:03:15-09:03:20,1
09:03:20-09:03:25,1
09:03:25-09:03:30,1
09:03:30-09:03:35,1
09:03:35-09:03:40,1
09:03:40-09:03:45,1
09:03:45-09:03:50,1
09:03:50-09:03:55,1
09:03:55-09:04:00,1
09:04:00-09:04:05,1
09:04:05-09:04:10,1
09:04:10-09:04:15,1
09:04:15-09:04:20,1
09:04:20-09:04:25,1
09:04:25-09:04:30,1
09:04:30-09:04:35,1
09:04:35-09:04:40,1
09:04:40-09:04:45,1
09:04:45-09:04:50,1
09:04:50-09:04:55,1
09:04:55-09:05:00,1
09:05:00-09:05:05,1
09:05:05-09:05:10,1
09:05:10-09:05:15,1
09:05:15-09:05:20,1
09:05:20-09:05:25,1
09:05:25-09:05:30,1
09:05:30-09:05:35,1
09:05:35-09:05:40,1
09:05:40-09:05:45,1
09:05:45-09:05:50,1
09:05:50-09:05:55,1
09:05:55-09:06:00,1
09:06:00-09:06:05,1
09:06:05-09:06:10,1
09:06:10-09:06:15,1
09:06:15-09:06:20,1
09:06:20-09:06:25,1
09:06:25-09:06:30,1
09:06:30-09:06:35,1
09:06:35-09:06:40,1
09:06:40-09:06:45,1
09:06:45-09:06:50,1
09:06:50-09:06:55,1
09:06:55-09:07:00,1
09:07:00-09:07:05,1
09:07:05-09:07:10,1
09:07:10-09:07:15,1
09:07:15-09:07:20,1
09:07:20-09:07:25,1
09:07:25-09:07:30,1
09:07:30-09:07:35,1
09:07:35-09:07:40,1
09:07:40-09:07:45,1
09:07:45-09:07:50,1
09:07:50-09:07:55,1
09:07:55-09:08:00,1
09:08:00-09:08:05,1
09:08:05-09:08:10,1
09:08:10-09:08:15,1
09:08:15-09:08:20,1
09:08:20-09:08:25,1
09:08:25-09:08:30,1
09:08:30-09:08:35,1
09:08:35-09:08:40,1
09:08:40-09:08:45,1
09:08:45-09:08:50,1
09:08:50-09:08:55,1
09:08:55-09:09:00,1
09:09:00-09:09:05,1
09:09:05-09:09:10,1
09:09:10-09:09:15,1
09:09:15-09:09:20,1
09:09:20-09:09:25,1
09:09:25-09:09:30,1
09:09:30-09:09:35,1
09:09:35-09:09:40,1
09:09:40-09:09:45,1
09:09:45-09:09:50,1
09:09:50-09:09:55,1
09:09:55-09:10:00,1
09:10:00-09:10:05,1
09:10:05-09:10:10,1
09:10:10-09:10:15,1
09:10:15-09:10:20,1
09:10:20-09:10:25,1
09:10:25-09:10:30,1
09:10:30-09:10:35,1
09:10:35-09:10:40,1
09:10:40-09:10:45,1
09:10:45-09:10:50,1
09:10:50-09:10:55,1
09:10:55-09:11:00,1
09:11:00-09:11:05,1
09:11:05-09:11:10,1
09:11:10-09:11:15,1
09:11:15-09:11:20,1
09:11:20-09:11:25,1
09:11:25-09:11:30,1
09:11:30-09:11:35,1
09:11:35-09:11:40,1
09:11:40-09:11:45,1
09:11:45-09:11:50,1
09:11:50-09:11:55,1
09:11:55-09:12:00,1
09:12:00-09:12:05,1
09:12:05-09:12:10,1
09:12:10-09:12:15,1
